Starting Stratum Web Server on http://localhost:8080...
Integrated MCP SSE Server listening at http://localhost:8080/api/mcp
2026/09/10 19:01:38 [HTTP] GET /api/projects - 200 (274.954µs)
2026/09/10 19:01:38 [HTTP] GET /api/export/files?project=6G - 200 (2.048864ms)
2026/09/10 19:01:38 [HTTP] GET /api/workspace - 200 (23.346µs)
2026/09/10 19:01:38 [HTTP] GET /api/projects - 200 (109.851µs)
2026/09/10 19:01:38 [HTTP] GET /api/export/files?project=6G - 200 (1.535191ms)
2026/09/10 19:01:38 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (495.992732ms)
2026/09/10 19:01:39 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (468.684412ms)
2026/09/10 19:11:46 [HTTP] GET /api/export/files?project=6G - 200 (3.722127ms)
2026/09/10 19:11:46 [HTTP] GET /api/export/files?project=6G - 200 (2.845716ms)
2026/09/10 19:11:47 [HTTP] GET /api/pipeline/status?project=6G - 200 (63.5µs)
2026/09/10 19:11:47 [HTTP] GET /api/pipeline/status?project=6G - 200 (114.696µs)
2026/09/10 19:11:47 [HTTP] GET /api/config?project=6G - 200 (36.841514ms)
2026/09/10 19:11:47 [HTTP] GET /api/config?project=6G - 200 (6.334772ms)
2026/09/10 19:11:49 [HTTP] GET /api/export/files?project=6G - 200 (3.263517ms)
2026/09/10 19:11:49 [HTTP] GET /api/export/files?project=6G - 200 (3.887921ms)
2026/09/10 19:11:50 [HTTP] GET /api/export/files?project=6G - 200 (3.419191ms)
2026/09/10 19:11:50 [HTTP] GET /api/export/files?project=6G - 200 (2.234353ms)
2026/09/10 19:11:51 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (1.050749434s)
2026/09/10 19:11:52 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (977.614038ms)
